"","Estado.del.concurso","Fecha.hora.de.publicación","Cartel","Número.de.procedimiento","Número.de.SICOP","Institución","Nombre","Concurso.confidencial","Enc.Pub.Gest.Apertu","Elaborador","Enc.Solic.Est.Ofert","Registro.del.pliego.de.condiciones","Versiones.del.cartel","Versión.en.consulta","Descripción.del.procedimiento","Clasificación.del.objeto","Tipo.de.procedimiento","Tipo.de.modalidad","Tipo.de.recepción.de.ofertas","Lugar.de.apertura","Inicio.de.recepción.de.ofertas","Cierre.de.recepción.de.ofertas","Fecha.hora.de.apertura.de.ofertas","Plazo.del.acto.final","Presupuesto.total.estimado","Presupuesto.total.estimado.USD..Opcional.","Fundamento.jurídico","cant_cod"
"257","Contrato","27/10/2022 16:01","Real","2022CD-000256-0021700001","-","Municipalidad ","Heredia","No","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Registro","","20221005101-00","Contratacion de alquiler de tarima, sonido y mobiliario para evento ¿la fiesta de junior peluche¿ para la municipalidad de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","27/10/2022 17:00","31/10/2022 09:00","31/10/2022 09:00","4 Días hábiles",3510800,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"258","Adjudicación en firme","27/10/2022 17:40","Real","2022CD-000257-0021700001","-","Municipalidad ","Heredia","No","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Registro","","20221005107-00","Reparacion de skateparks de la municipalidad de heredia","Bienes","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","28/10/2022 06:00","03/11/2022 10:00","03/11/2022 10:00","10 Días hábiles",23681400,"","Contratación directa para reparaciones indeterminadas (Artículo 2 inc. d) LCA y artículo 139 inciso g) RLCA.","401"
"259","Contrato","28/10/2022 09:30","Real","2022LA-000018-0024250801","-","Municipalidad ","Tilaran","No","Shirley Ramirez Méndez","Shirley Ramirez Méndez","Shirley Ramirez Méndez","Modificar","20221005186-01","20221005186-00","Construcción iii y iv etapa auditorio cultural de la municipalidad","Obra publica","Licitación abreviada","Servicios","En línea","https://www.sicop.go.cr","31/10/2022 07:00","09/11/2022 09:00","09/11/2022 09:00","16 Días hábiles",46392665.57,"",NA,"508"
"260","Adjudicado","28/10/2022 10:38","Real","2022LA-000032-0021700001","-","Municipalidad ","Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Modificar","20221005217-01","20221005217-00","Construccion aceras corredor accesible para conectar sitios de interes publico tipo por demanda para la municipalidad de heredia","Bienes","Licitación abreviada","Según demanda","En línea","https://www.sicop.go.cr","04/11/2022 12:00","07/11/2022 10:00","07/11/2022 10:00","12 Días hábiles",29000,"",NA,"401"
"261","Contrato","28/10/2022 11:59","Real","2022LA-000023-0004611901","-","Municipalidad ","Perez Zeledon","No","Julian Fallas Carvajal","Julian Fallas Carvajal","Julian Fallas Carvajal","Registro","","20221004558-00","Contratación de servicio de suministro de equipo e instalación de sistema de camaras de vigilancia ip en el mercado municipalidad de perez zeledon","Bienes/servicios","Licitación abreviada","Cantidad definida","En línea","https://www.sicop.go.cr","31/10/2022 07:00","11/11/2022 10:00","11/11/2022 10:00","20 Días hábiles",2.5e+07,"",NA,"119"
"262","Contrato","28/10/2022 12:51","Real","2022CD-000190-0020800001","-","Municipalidad ","Escazu","No","Jenny Marcela Araya Leon","Jenny Marcela Araya Leon","Jenny Marcela Araya Leon","Registro","","20221004962-00","Contratación de acciones de capacitación en el tema de clima organizacional para la municipalidad de escazú","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","28/10/2022 13:00","03/11/2022 10:59","03/11/2022 11:00","10 Días hábiles",1.2e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","102"
"263","Contrato","30/10/2022 16:00","Real","2022CD-000157-0003900001","-","Municipalidad ","Nicoya","No","Maria Azucena Rodriguez Jimenez","María Teresa Salas Murillo","Maria Azucena Rodriguez Jimenez","Registro","","20221005429-00","Compra de equipos de cómputo para oficinas de la municipalidad de nicoya","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","31/10/2022 01:00","03/11/2022 10:00","03/11/2022 10:01","10 Días hábiles",8921000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","502"
"264","Contrato","31/10/2022 09:35","Real","2022CD-000059-0003000001","-","Municipalidad ","Flores","No","Cynthia Alejandra Salas Chavarría","Vivian Barrantes Jimènez","Vivian Barrantes Jimènez","Registro","","20221005448-00","Contratación de servicio de publicación en un diario de circulación nacional para el inicio de concursos externos en la municipalidad de flores","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","31/10/2022 11:00","04/11/2022 09:00","04/11/2022 09:00","10 Días hábiles",465486,"","Contratación directa de medios de comunicación social (Artículo 2 inc. d) LCA y artículo 139 inciso c) RLCA.","408"
"265","Contrato","31/10/2022 09:53","Real","2022CD-000181-0005500001","-","Municipalidad ","Atenas","No","Freddy Alejandro Chaves Suarez","Freddy Alejandro Chaves Suarez","Freddy Alejandro Chaves Suarez","Registro","","20221005494-00","Contratación de servicios de administración de tarjetas de combustible y sistemas gps para las unidades de la municipalidad de atenas.","Bienes/servicios","Contratación directa","Según demanda","En línea","https://www.sicop.go.cr","31/10/2022 10:00","03/11/2022 14:00","03/11/2022 14:00","10 Días hábiles",8600,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","205"
"266","Contrato","31/10/2022 09:58","Real","2022CD-000077-0031200001","-","Municipalidad ","Montes de Oro","No","Cynthia Villalobos Cortés","Cynthia Villalobos Cortes","Cynthia Villalobos Cortes","Registro","","20221005363-00","Compra herramientas para los servicios de la municipalidad de montes de oro","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","01/11/2022 08:00","07/11/2022 10:00","07/11/2022 10:01","10 Días hábiles",2495000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","604"
"267","Contrato","31/10/2022 11:28","Real","2022CD-000258-0021700001","-","Municipalidad ","Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Registro","","20221005540-00","Servicios profesionales para capacitacion ley nº 9986 denominada ley general de contratacion publica para la municipalidad de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","01/11/2022 12:00","02/11/2022 10:00","02/11/2022 10:00","6 Días hábiles",1.1e+07,"","Contratación directa para servicios de capacitación (Artículo 2 inc. d) LCA y artículo 139 inciso e) RLCA.","401"
"268","Contrato","31/10/2022 12:22","Real","2022CD-000209-0023300001","-","Municipalidad ","San Rafael","No","Floribeth Chaves Ramirez","Floribeth Chaves Ramirez","Floribeth Chaves Ramirez","Registro","","20221005569-00","Compra de estandartes de la municipalidad de san rafael, astas y espaciadores","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","31/10/2022 13:00","07/11/2022 12:00","07/11/2022 12:05","10 Días hábiles",6e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","405"
"269","Adjudicación en firme","31/10/2022 14:32","Real","2022LA-000010-0025700001","-","Municipalidad ","Siquirres","No","Sandra Vargas Fernandez","Sandra Vargas Fernandez","Sandra Vargas Fernandez","Registro","","20221005627-00","Precalificación de oferentes para la adquisición de materiales, suministros, herramientas y bienes duraderos para la municipalidad de siquirres","Bienes","Licitación abreviada","Servicios","En línea","https://www.sicop.go.cr","31/10/2022 15:00","07/11/2022 10:00","07/11/2022 10:00","10 Días hábiles",10,"",NA,"703"
"270","Adjudicación en firme","31/10/2022 14:50","Real","2022CD-000072-0021911601","-","Municipalidad ","Turrubares","No","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Registro","","20221005246-00","“Servicio de alineado, rotacion y balanceo de llantas para los vehiculos de la unidad de gestión vial de la municipalidad de turrubares”","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","01/11/2022 10:00","04/11/2022 14:00","04/11/2022 14:01","10 Días hábiles",4e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","116"
"271","Contrato","31/10/2022 17:28","Real","2022LA-000007-0010600001","-","Municipalidad ","Oreamuno","No","Isabel Barahona Cubero","Rosa Isela Mata Quirós","Isabel Barahona Cubero","Registro","","20221005414-00","Proyectos a desarrollar en las fincas páez, propiedad de la municipalidad de oreamuno.","Obra publica","Licitación abreviada","Cantidad definida","En línea","https://www.sicop.go.cr","02/11/2022 07:00","15/11/2022 15:00","15/11/2022 15:01","20 Días hábiles",65100000,"",NA,"307"
"272","Desierto/Infructuoso","01/11/2022 07:14","Real","2022CD-000044-0020000306","-","Municipalidad ","Alvarado","No","Cristel Melissa Tencio Montero","Cristel Melissa Tencio Montero","Cristel Melissa Tencio Montero","Modificar","20221005281-01","20221005281-00","Servicio de entrega de notificaciones a contribuyentes de la municipalidad de alvarado","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","01/11/2022 07:15","04/11/2022 08:00","04/11/2022 08:01","10 Días hábiles",6500000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","306"
"273","Contrato","01/11/2022 08:31","Real","2022CD-000078-0031200001","-","Municipalidad ","Montes de Oro","No","Cynthia Villalobos Cortés","Cynthia Villalobos Cortes","Cynthia Villalobos Cortes","Registro","","20221005574-00","Mantenimiento preventivo y correctivo a las guadañas de los servicios municipalidad de montes de oro.","Servicios","Contratación directa","Según demanda","En línea","https://www.sicop.go.cr","02/11/2022 08:00","08/11/2022 10:00","08/11/2022 10:01","10 Días hábiles",610000,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).","604"
"274","Adjudicación en firme","01/11/2022 10:38","Real","2022LA-000033-0021700001","-","Municipalidad ","Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Modificar","20221100080-01 20221100080-02 20221100080-03","20221100080-00","Construccion del cementerio de varablanca para la municipalidad de heredia","Bienes","Licitación abreviada","Servicios","En línea","https://www.sicop.go.cr","29/11/2022 07:00","30/11/2022 10:00","30/11/2022 10:00","20 Días hábiles",1.98e+08,"",NA,"401"
"275","Contrato","01/11/2022 12:02","Real","2022LA-000013-0003000001","-","Municipalidad ","Flores","No","Cynthia Alejandra Salas Chavarría","Vivian Barrantes Jimènez","Cynthia Alejandra Salas Chavarría","Registro","","20221002304-00","Contratación para la migración de las cuentas de correo e información a una plataforma online para los empleados de las oficinas de la municipalidad de flores.","Servicios","Licitación abreviada","Cantidad definida","En línea","https://www.sicop.go.cr","01/11/2022 13:00","09/11/2022 11:00","09/11/2022 11:00","12 Días hábiles",4.5e+07,"",NA,"408"
"276","Adjudicación en firme","01/11/2022 13:12","Real","2022CD-000037-0021300211","-","Municipalidad ","Zarcero","No","Maria Vanessa Salazar Huertas","Maria Vanessa Salazar Huertas","Maria Vanessa Salazar Huertas","Registro","","20221100160-00","Compra de materiales metálicos para la municipalidad de zarcero","Bienes","Contratación directa","Según demanda","En línea","https://www.sicop.go.cr","02/11/2022 08:00","08/11/2022 08:45","08/11/2022 09:00","10 Días hábiles",15700000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","211"
"277","Contrato","01/11/2022 14:36","Real","2022CD-000074-0021500001","-","Municipalidad ","Upala","No","Elyin Shion Molina","Elyin Shion Molina","Elyin Shion Molina","Modificar","20221100194-01","20221100194-00","Contratación directa de servicios profesionales en contaduría pública para auditoría interna de la municipalidad de upala.","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","01/11/2022 15:00","04/11/2022 10:00","04/11/2022 10:01","10 Días hábiles",8744349,"","Contratación directa para asesoría a auditorías internas (Artículo 2 inc. d) LCA y artículo 139 inciso p) RLCA.","213"
"278","Contrato","01/11/2022 14:38","Real","2022CD-000163-0003900001","-","Municipalidad ","Nicoya","No","Adriana Espinoza Montano","Adriana Espinoza Montano","Adriana Espinoza Montano","Registro","","20221100214-00","Servicios profesionales para soporte profesional al departamento de control constructivo y obra pública de la municipalidad de nicoya","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","02/11/2022 08:00","04/11/2022 10:00","04/11/2022 10:01","10 Días hábiles",3e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","502"
"279","Desierto/Infructuoso","01/11/2022 14:55","Real","2022CD-000183-0005500001","-","Municipalidad ","Atenas","No","Diana Margot Valerio Víquez","Diana Margot Valerio Víquez","Diana Margot Valerio Víquez","Registro","","20221100229-00","Compra de equipo de sonido, para la municipalidad de atenas, desarrollo de actividades varias","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","01/11/2022 15:00","04/11/2022 14:00","04/11/2022 14:00","10 Días hábiles",955000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","205"
"280","Contrato","01/11/2022 15:31","Real","2022CD-000271-0021600001","-","Municipalidad ","Desamparados","No","Iliana Zamora Araya","Iliana Zamora Araya","Iliana Zamora Araya","Registro","","20221100259-00","Compra de medicamentos para prescripción en el consultorio médico de la municipalidad de desamparados y tratamientos de funcionarios","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","01/11/2022 15:40","04/11/2022 09:00","04/11/2022 09:30","4 Días hábiles",606000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","103"
"281","Adjudicación en firme","01/11/2022 16:04","Real","2022CD-000171-0004200001","-","Municipalidad ","Buenos Aires","No","Carlos Alban Serrano Siles","Carlos Alban Serrano Siles","Carlos Alban Serrano Siles","Registro","","20221100185-00","Servicio de empaste e imprenta para la municipalidad de buenos aires","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","01/11/2022 18:00","04/11/2022 08:00","04/11/2022 08:00","10 Días hábiles",150000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","603"
"282","Contrato","02/11/2022 11:52","Real","2022CD-000276-0021600001","-","Municipalidad ","Desamparados","No","Melissa Jimenez Venegas","Melissa Jimenez Venegas","Melissa Jimenez Venegas","Registro","","20221100438-00","La municipalidad necesita contratar servicios profesionales para desarrollo de nueva funcionalidad en el sistema sidim","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","02/11/2022 13:00","04/11/2022 09:00","04/11/2022 09:05","10 Días hábiles",5e+06,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).","103"
"283","Contrato","02/11/2022 14:04","Real","2022CD-000209-0000500001","-","Municipalidad ","Alajuela","No","Alexander Gamboa Viquez","Alexander Gamboa Viquez","Alexander Gamboa Viquez","Registro","","20221100345-00","Estudio de factibilidad para adquisición de un terreno para construcción de edificio o de un edificio construido para albergar las oficinas de la municipalidad de alajuela","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","02/11/2022 15:00","08/11/2022 14:00","08/11/2022 14:01","10 Días hábiles",2.2e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","201"
"284","Desierto/Infructuoso","02/11/2022 14:07","Real","2022CD-000154-0021000001","-","Municipalidad ","Santa Cruz","No","Jorge Luis Zuñiga Abarca","Jorge Luis Zuñiga Abarca","Jorge Luis Zuñiga Abarca","Registro","","20221100519-00","Compra de camisas para el staff municipal de la municipalidad de santa cruz.","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","02/11/2022 15:00","07/11/2022 10:00","07/11/2022 10:00","6 Días hábiles",258000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","503"
"285","Contrato","02/11/2022 14:57","Real","2022CD-000270-0024100001","-","Municipalidad ","Goicoechea","No","Ariana Melissa García Arias","Ariana Melissa García Arias","Ariana Melissa García Arias","Registro","","20221100304-00","Compra de productos de limpieza, según demanda para la municipalidad de goicoechea.","Bienes","Contratación directa","Según demanda","En línea","https://www.sicop.go.cr","07/11/2022 12:00","08/11/2022 14:00","08/11/2022 14:01","10 Días hábiles",1900000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","108"
"286","Contrato","02/11/2022 15:15","Real","2022CD-000271-0024100001","-","Municipalidad ","Goicoechea","No","Ariana Melissa García Arias","Ariana Melissa García Arias","Ariana Melissa García Arias","Registro","","20221100306-00","Servicios para clases maestras a la sección de canto y el taller de coro, escuela de música municipalidad de goicoechea","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","02/11/2022 16:00","03/11/2022 15:00","03/11/2022 15:01","10 Días hábiles",3e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","108"
"287","Apelación o Revocación","02/11/2022 16:29","Real","2022CD-000261-0021700001","-","Municipalidad ","Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Registro","","20221100612-00","Servicios profesionales para el diseño del sistema electrico y acondicionamiento de oficinas para el edificio de gobernacion de la municipalidad de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","07/11/2022 07:00","08/11/2022 10:00","08/11/2022 10:00","8 Días hábiles",1.4e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"288","Adjudicación en firme","03/11/2022 13:01","Real","2022CD-000194-0020800001","-","Municipalidad ","Escazu","No","Ana Lorena Zamora Cano","Ana Lorena Zamora Cano","Ana Lorena Zamora Cano","Registro","","20221100743-00","Sistema para control de consumo energético para aires acondicionados y luminaria para el palacio municipal de la municipalidad de escazú","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","04/11/2022 07:00","08/11/2022 09:00","08/11/2022 09:01","10 Días hábiles",9464000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","102"
"289","Contrato","03/11/2022 13:57","Real","2022CD-000058-0022900511","-","Municipalidad ","Hojancha","No","Wadih Mejias Espinoza","Wadih Mejias Espinoza","Wadih Mejias Espinoza","Registro","","20221100830-00","Compra de servicios de transporte para la municipalidad de hojancha","Bienes/servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","07/11/2022 07:30","08/11/2022 10:00","08/11/2022 11:00","5 Días hábiles",3e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","511"
"290","Contrato","03/11/2022 15:51","Real","2022CD-000105-0019100001","-","Municipalidad ","Coto Brus","No","Iris de Jesus Vindas Chaves","Iris de Jesus Vindas Chaves","Iris de Jesus Vindas Chaves","Registro","","20221100871-00","Compra de composteras y bolsos para el departamento de gestión ambiental de la municipalidad de coto brus","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","04/11/2022 07:00","08/11/2022 12:00","08/11/2022 12:01","6 Días hábiles",1952500,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","608"
"291","Contrato","03/11/2022 16:08","Real","2022CD-000264-0021700001","-","Municipalidad ","Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Registro","","20221100980-00","Servicios profesionales para inspección de obras de estabilizacion del talud sobre rio burio a la altura de cubujuqui etapas ii ¿ iii para la municipalidad de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","08/11/2022 07:00","09/11/2022 10:00","09/11/2022 10:00","8 Días hábiles",14971380.1,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).","401"
"292","Adjudicación en firme","03/11/2022 16:22","Real","2022CD-000277-0024100001","-","Municipalidad ","Goicoechea","No","Ariana Melissa García Arias","Ariana Melissa García Arias","Ariana Melissa García Arias","Registro","","20221100679-00","Contratacion para construcion de 13,5m de malla tipo ciclon, con porton peatonal y vehicular, en propiedad expropiada por la municipalidad, urb. Beraca","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","10/11/2022 11:00","11/11/2022 12:00","11/11/2022 12:01","10 Días hábiles",1512500,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","108"
"293","Adjudicación en firme","04/11/2022 07:44","Real","2022CD-000214-0023570101","-","Municipalidad ","Limon","No","Gary Whalon Dunn Dawkins","Gary Whalon Dunn Dawkins","Gary Whalon Dunn Dawkins","Registro","","20221004692-00","Contratación de servicios jurídicos penales para la municipalidad de limón","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","04/11/2022 08:00","09/11/2022 12:25","09/11/2022 12:30","5 Días hábiles",3e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","701"
"294","Contrato","04/11/2022 10:39","Real","2022LA-000007-0021100001","-","Municipalidad ","Orotina","No","Jeffry Miranda Mena","Ana Lucia Chaves Peréz","Jeffry Miranda Mena","Registro","","20221101108-00","Compra de un sistema para el control de trámites y la gestión documental para los distintos departamentos de la municipalidad de orotina","Bienes","Licitación abreviada","Cantidad definida","En línea","https://www.sicop.go.cr","04/11/2022 15:00","16/11/2022 09:00","16/11/2022 09:05","12 Días hábiles",37500000,"",NA,"209"
"295","Contrato","04/11/2022 12:05","Real","2022CD-000106-0019100001","-","Municipalidad ","Coto Brus","No","Iris de Jesus Vindas Chaves","Iris de Jesus Vindas Chaves","Iris de Jesus Vindas Chaves","Modificar","20221100664-01","20221100664-00","Compra de filtros para la municipalidad de coto brus","Bienes","Contratación directa","Según demanda","En línea","https://www.sicop.go.cr","07/11/2022 07:00","09/11/2022 12:00","09/11/2022 12:01","6 Días hábiles",7271041,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","608"
"296","Contrato","04/11/2022 13:17","Real","2022CD-000033-0020500001","-","Municipalidad ","Santa Barbara","No","Marco Antonio Vargas Ramirez","Katherine Paola Mejia Carvajal","Marco Antonio Vargas Ramirez","Registro","","20221101128-00","Gestor documental para la municipalidad de santa bárbara","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","07/11/2022 07:00","14/11/2022 10:00","14/11/2022 10:00","10 Días hábiles",1.5e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","404"
"297","Contrato","04/11/2022 14:09","Real","2022CD-000052-0021300211","-","Municipalidad ","Zarcero","No","Maria Vanessa Salazar Huertas","Maria Vanessa Salazar Huertas","Maria Vanessa Salazar Huertas","Registro","","20221101251-00","Compra de llantas para maquinaria y vehículos de utgvm, municipalidad de zarcero","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","07/11/2022 08:00","11/11/2022 10:15","11/11/2022 10:30","10 Días hábiles",15700000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","211"
"298","Adjudicación en firme","04/11/2022 14:53","Real","2022CD-000073-0021911601","-","Municipalidad ","Turrubares","No","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Registro","","20221100262-00","“Servicios de cambio y reparación de llantas según demanda de equipos y vehculos de la unidad tecnica de gestión vial, municipalidad de turrubares”.","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","07/11/2022 08:00","10/11/2022 11:00","10/11/2022 11:01","10 Días hábiles",4e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","116"
"299","Contrato","04/11/2022 14:58","Real","2022CD-000074-0021911601","-","Municipalidad ","Turrubares","No","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Registro","","20221100275-00","“Compra e instalación de señalizacion vertical para los distritos de la municipalidad de turrubares”","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","07/11/2022 08:00","10/11/2022 13:00","10/11/2022 13:01","10 Días hábiles",4200000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","116"
"300","Contrato","07/11/2022 07:12","Real","2022CD-000046-0020000306","-","Municipalidad ","Alvarado","No","Cristel Melissa Tencio Montero","Cristel Melissa Tencio Montero","Cristel Melissa Tencio Montero","Registro","","20221101158-00","Adquisición de sistema integrado de egresos para el control de la municipalidad de alvarado","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","07/11/2022 07:15","10/11/2022 08:00","10/11/2022 08:01","10 Días hábiles",8500000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","306"
"301","Contrato","07/11/2022 07:51","Real","2022CD-000047-0020000306","-","Municipalidad ","Alvarado","No","Cristel Melissa Tencio Montero","Cristel Melissa Tencio Montero","Cristel Melissa Tencio Montero","Registro","","20221101232-00","Compra de uniformes para los operativos de la municipalidad de alvarado","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","07/11/2022 08:00","10/11/2022 11:00","10/11/2022 11:01","10 Días hábiles",1779380,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","306"
"302","Contrato","07/11/2022 09:44","Real","2022CD-000137-0002500001","-","Municipalidad ","Palmares","No","Nancy Karina Mendez Arce","Nancy Karina Mendez Arce","Nancy Karina Mendez Arce","Registro","","20221101429-00","Decisión inicial para la compra de banderas de costa rica y del cantón de palmares para el uso oficial de la municipalidad de palmares","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","07/11/2022 10:30","10/11/2022 10:45","10/11/2022 11:00","10 Días hábiles",3e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","207"
"303","Contrato","07/11/2022 12:41","Real","2022CD-000215-0023300001","-","Municipalidad ","San Rafael","No","Floribeth Chaves Ramirez","Floribeth Chaves Ramirez","Floribeth Chaves Ramirez","Registro","","20221101520-00","Contratación de capacitación para el personal de la policía municipal, tránsito municipal y guardas de la municipalidad de san rafael de heredia para el año 2022","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","07/11/2022 14:00","10/11/2022 14:00","10/11/2022 14:05","6 Días hábiles",980000,"","Contratación directa para servicios de capacitación (Artículo 2 inc. d) LCA y artículo 139 inciso e) RLCA.","405"
"304","Desierto/Infructuoso","07/11/2022 14:32","Real","2022CD-000216-0000700001","-","Municipalidad ","Grecia","No","Jacqueline Andrea Soto Vargas","Jacqueline Andrea Soto Vargas","Jacqueline Andrea Soto Vargas","Modificar","20221101589-01","20221101589-00","Elaboración, reparación y compra de mobiliario para la biblioteca pública y municipalidad de grecia","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","07/11/2022 14:40","14/11/2022 10:00","14/11/2022 10:00","10 Días hábiles",4100000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","203"
"305","Contrato","07/11/2022 15:59","Real","2022CD-000048-0028011201","-","Municipalidad ","Acosta","No","Allan Alberto Segura Alfaro","Allan Alberto Segura Alfaro","Allan Alberto Segura Alfaro","Modificar","20221101662-01","20221101662-00","Compra de botas para personal operativo y adminisytrativo de la municipalidad de acosta","Bienes","Contratación directa","Según demanda","En línea","https://www.sicop.go.cr","07/11/2022 16:05","14/11/2022 10:00","14/11/2022 10:01","10 Días hábiles",3e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","112"
