"","Estado.del.concurso","Fecha.hora.de.publicación","Número.de.procedimiento","Nombre","Versiones.del.cartel","Versión.en.consulta","Descripción.del.procedimiento","Clasificación.del.objeto","Tipo.de.procedimiento","Tipo.de.modalidad","Inicio.de.recepción.de.ofertas","Cierre.de.recepción.de.ofertas","Fecha.hora.de.apertura.de.ofertas","Plazo.del.acto.final","Presupuesto.total.estimado","Presupuesto.total.estimado.USD..Opcional.","Fundamento.jurídico","cant_cod"
"240","Contrato","25/10/2022 09:51","2022CD-000137-0012000001","El Guarco","20221004383-01","20221004383-00","Levantamiento de inventario y activos general de la Municipalidad de El Guarco","Bienes/servicios","Contratación directa","Cantidad definida","25/10/2022 10:00","31/10/2022 10:00","31/10/2022 10:00","8 Días hábiles",5e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",308
"241","Contrato","25/10/2022 10:41","2022CD-000144-0022500001","Guacimo","","20221004414-00","COMPRA DE ALFOMBRA PARA ENTRADA PRINCIPAL DE LA MUNICIPALIDAD DE GUÁCIMO.","Bienes","Contratación directa","Cantidad definida","26/10/2022 08:00","28/10/2022 08:00","28/10/2022 08:01","10 Días hábiles",360000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",706
"242","Contrato","25/10/2022 15:41","2022CD-000155-0003900001","Nicoya","","20221004561-00","Servicios profesionales para asesoría en materia de comunicación institucional y manejo de redes sociales de la Municipalidad de Nicoya.","Servicios","Contratación directa","Servicios","26/10/2022 15:00","28/10/2022 10:00","28/10/2022 10:01","10 Días hábiles",5200000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",502
"243","Contrato","25/10/2022 15:42","2022CD-000146-0022500001","Guacimo","20221004535-01","20221004535-00","SERVICIOS INTEGRALES PARA ACTIVIDADES PROTOCOLARIAS Y SOCIALES DE LA MUNICIPALIDAD DE GUÁCIMO PARA CELEBRACIÓN DE FESTIVAL NAVIDEÑO.","Servicios","Contratación directa","Cantidad definida","26/10/2022 08:00","28/10/2022 15:00","28/10/2022 15:01","10 Días hábiles",18386760.97,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",706
"244","Adjudicación en firme","25/10/2022 16:30","2022CD-000251-0021700001","Heredia","20221004582-01","20221004582-00","CONTRATACION DE ALQUILER DE TARIMA, SONIDO Y MOBILIARIO PARA EVENTO ¿LA FIESTA DE JUNIOR PELUCHE¿ PARA LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Servicios","25/10/2022 17:00","27/10/2022 09:00","27/10/2022 09:00","4 Días hábiles",3510800,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"245","Contrato","26/10/2022 08:14","2022CD-000311-0022030101","Cartago","","20221004396-00","21615 - Contratar el servicio de mantenimiento y reparación de maquinaria y equipo menor en el Departamento de Acueductos de la Municipalidad de Carta","Bienes/servicios","Contratación directa","Según demanda","26/10/2022 08:15","01/11/2022 08:15","01/11/2022 08:20","10 Días hábiles",2e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",301
"246","En evaluación","26/10/2022 09:34","2022CD-000252-0021700001","Heredia","20221004671-01","20221004671-00","CONTRATACION COMPRA DE LAMPARAS LED TIPO REFLECTOR PARA LA MUNICIPALIDAD DE HEREDIA","Bienes","Contratación directa","Cantidad definida","27/10/2022 07:00","31/10/2022 08:00","31/10/2022 08:00","6 Días hábiles",450000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"247","Contrato","26/10/2022 11:57","2022CD-000191-0017500001","Turrialba","","20221004616-00","Compra de Toldos para la Municipalidad de Turrialba","Bienes","Contratación directa","Cantidad definida","26/10/2022 12:00","31/10/2022 13:00","31/10/2022 13:01","10 Días hábiles",2e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",305
"248","Contrato","26/10/2022 13:04","2022CD-000253-0021700001","Heredia","","20221004777-00","CONTRATACION DE SERVICIOS PROFESIONALES PARA DISEÑO E INSTALACION DE LUMINARIAS EN TEMA NAVIDEÑO 2022 PARA LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Servicios","27/10/2022 08:00","31/10/2022 09:00","31/10/2022 09:00","6 Días hábiles",25600000,"","Contratación directa de bienes o servicios artísticos o intelectuales (Artículo 2 inc. d) LCA y artículo 139 inciso b) RLCA.",401
"249","Contrato","26/10/2022 15:52","2022CD-000244-0024100001","Goicoechea","","20221004519-00","Contratación de servicio de transporte para personas e instrumentos musicales para gira distrital y gira a Guanacaste de la Escuela de Música de la Municipalidad de Goicoechea","Servicios","Contratación directa","Servicios","27/10/2022 14:00","28/10/2022 13:59","28/10/2022 14:01","10 Días hábiles",2825000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",108
"250","Adjudicación en firme","26/10/2022 15:58","2022CD-000073-0021500001","Upala","","20221004865-00","CONTRATACIÓN DIRECTA DE PERSONA FISICA O JURIDICA PARA LA COMPRA DE DESHUMIDIFICADOR PARA EL ARCHIVO DE LA MUNICIPALIDAD DE UPALA.","Bienes","Contratación directa","Cantidad definida","27/10/2022 08:00","31/10/2022 10:00","31/10/2022 10:01","10 Días hábiles",2e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",213
"251","Adjudicación en firme","27/10/2022 08:06","2022CD-000045-0019400001","Osa","","20221004876-00","Adquisición de una licencia de software para monitoreo y control de la infraestructura de red de la Municipalidad de Osa","Bienes","Contratación directa","Cantidad definida","27/10/2022 13:00","02/11/2022 13:00","02/11/2022 13:05","8 Días hábiles",1600000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",605
"252","Desierto/Infructuoso","27/10/2022 08:49","2022LA-000007-0003300001","Moravia","","20221004332-00","Alquiler de Terreno para resguardo de Camiones y Materiales de la Municipalidad de Moravia","Servicios","Licitación abreviada","Arrendamiento de inmuebles sin opción de compra","27/10/2022 09:00","08/11/2022 10:00","08/11/2022 10:05","16 Días hábiles",7.2e+07,"",NA,114
"253","Contrato","27/10/2022 11:03","2022CD-000025-0004300001","Corredores","","20221001397-00","REPARACIÓN DEL VEHÍCULO TOYOTA HILUX SM6730 DE LA MUNICIPALIDAD DE CORREDORES","Bienes/servicios","Contratación directa","Cantidad definida","27/10/2022 11:30","03/11/2022 10:00","03/11/2022 10:01","10 Días hábiles",1827000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",610
"254","Apelación o Revocación","27/10/2022 11:51","2022LN-000004-0021700001","Heredia","20221005004-01 20221005004-02","20221005004-00","CONSTRUCCION DE OBRAS DE ALCANTARILLADO PLUVIAL DE LA ZONA OVSICORI- UNA- JARDINES UNIVERSITARIOS PARA LA MUNICIPALIDAD DE HEREDIA","Bienes","Licitación pública nacional","Servicios","09/11/2022 12:00","11/11/2022 10:00","11/11/2022 10:00","32 Días hábiles",352160280,"",NA,401
"255","Contrato","27/10/2022 15:39","2022CD-000254-0021700001","Heredia","20221005095-01 20221005095-02","20221005095-00","CONTRATACIÓN DE SERVICIOS DE FUMIGACIÓN PARA LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Servicios","01/11/2022 06:00","04/11/2022 10:00","04/11/2022 10:00","10 Días hábiles",725000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"256","Contrato","27/10/2022 15:46","2022CD-000255-0021700001","Heredia","","20221005099-00","SERVICIOS PROFESIONALES PARA SOPORTE DE APLICACION APP MOVIL DEL SISTEMA DE TIEMPO PARA ESTACIONAMIENTO AUTORIZADO DE LA MUNICIPALIDAD DE HEREDIA","Bienes","Contratación directa","Según demanda","01/11/2022 12:00","02/11/2022 10:00","02/11/2022 10:00","6 Días hábiles",3e+06,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).",401
"257","Contrato","27/10/2022 16:01","2022CD-000256-0021700001","Heredia","","20221005101-00","CONTRATACION DE ALQUILER DE TARIMA, SONIDO Y MOBILIARIO PARA EVENTO ¿LA FIESTA DE JUNIOR PELUCHE¿ PARA LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Servicios","27/10/2022 17:00","31/10/2022 09:00","31/10/2022 09:00","4 Días hábiles",3510800,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"258","Adjudicación en firme","27/10/2022 17:40","2022CD-000257-0021700001","Heredia","","20221005107-00","REPARACION DE SKATEPARKS DE LA MUNICIPALIDAD DE HEREDIA","Bienes","Contratación directa","Servicios","28/10/2022 06:00","03/11/2022 10:00","03/11/2022 10:00","10 Días hábiles",23681400,"","Contratación directa para reparaciones indeterminadas (Artículo 2 inc. d) LCA y artículo 139 inciso g) RLCA.",401
"259","Contrato","28/10/2022 09:30","2022LA-000018-0024250801","Tilaran","20221005186-01","20221005186-00","CONSTRUCCIÓN III Y IV ETAPA AUDITORIO CULTURAL DE LA MUNICIPALIDAD","Obra publica","Licitación abreviada","Servicios","31/10/2022 07:00","09/11/2022 09:00","09/11/2022 09:00","16 Días hábiles",46392665.57,"",NA,508
"260","Adjudicado","28/10/2022 10:38","2022LA-000032-0021700001","Heredia","20221005217-01","20221005217-00","CONSTRUCCION ACERAS CORREDOR ACCESIBLE PARA CONECTAR SITIOS DE INTERES PUBLICO TIPO POR DEMANDA PARA LA MUNICIPALIDAD DE HEREDIA","Bienes","Licitación abreviada","Según demanda","04/11/2022 12:00","07/11/2022 10:00","07/11/2022 10:00","12 Días hábiles",29000,"",NA,401
"261","Contrato","28/10/2022 11:59","2022LA-000023-0004611901","Perez Zeledon","","20221004558-00","CONTRATACIÓN DE SERVICIO DE SUMINISTRO DE EQUIPO E INSTALACIÓN DE SISTEMA DE CAMARAS DE VIGILANCIA IP EN EL MERCADO MUNICIPALIDAD DE PEREZ ZELEDON","Bienes/servicios","Licitación abreviada","Cantidad definida","31/10/2022 07:00","11/11/2022 10:00","11/11/2022 10:00","20 Días hábiles",2.5e+07,"",NA,119
"262","Contrato","28/10/2022 12:51","2022CD-000190-0020800001","Escazu","","20221004962-00","Contratación de acciones de capacitación en el tema de clima organizacional para la Municipalidad de Escazú","Servicios","Contratación directa","Servicios","28/10/2022 13:00","03/11/2022 10:59","03/11/2022 11:00","10 Días hábiles",1.2e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",102
"263","Contrato","30/10/2022 16:00","2022CD-000157-0003900001","Nicoya","","20221005429-00","Compra de equipos de cómputo para oficinas de la Municipalidad de Nicoya","Bienes","Contratación directa","Cantidad definida","31/10/2022 01:00","03/11/2022 10:00","03/11/2022 10:01","10 Días hábiles",8921000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",502
"264","Contrato","31/10/2022 09:35","2022CD-000059-0003000001","Flores","","20221005448-00","Contratación de servicio de publicación en un diario de circulación nacional para el inicio de concursos externos en la Municipalidad de Flores","Servicios","Contratación directa","Cantidad definida","31/10/2022 11:00","04/11/2022 09:00","04/11/2022 09:00","10 Días hábiles",465486,"","Contratación directa de medios de comunicación social (Artículo 2 inc. d) LCA y artículo 139 inciso c) RLCA.",408
"265","Contrato","31/10/2022 09:53","2022CD-000181-0005500001","Atenas","","20221005494-00","Contratación de servicios de administración de tarjetas de combustible y sistemas GPS para las unidades de la Municipalidad de Atenas.","Bienes/servicios","Contratación directa","Según demanda","31/10/2022 10:00","03/11/2022 14:00","03/11/2022 14:00","10 Días hábiles",8600,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",205
"266","Contrato","31/10/2022 09:58","2022CD-000077-0031200001","Montes de Oro","","20221005363-00","COMPRA HERRAMIENTAS PARA LOS SERVICIOS DE LA MUNICIPALIDAD DE MONTES DE ORO","Bienes","Contratación directa","Cantidad definida","01/11/2022 08:00","07/11/2022 10:00","07/11/2022 10:01","10 Días hábiles",2495000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",604
"267","Contrato","31/10/2022 11:28","2022CD-000258-0021700001","Heredia","","20221005540-00","SERVICIOS PROFESIONALES PARA CAPACITACION LEY Nº 9986 DENOMINADA LEY GENERAL DE CONTRATACION PUBLICA PARA LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Servicios","01/11/2022 12:00","02/11/2022 10:00","02/11/2022 10:00","6 Días hábiles",1.1e+07,"","Contratación directa para servicios de capacitación (Artículo 2 inc. d) LCA y artículo 139 inciso e) RLCA.",401
"268","Contrato","31/10/2022 12:22","2022CD-000209-0023300001","San Rafael","","20221005569-00","COMPRA DE ESTANDARTES DE LA MUNICIPALIDAD DE SAN RAFAEL, ASTAS Y ESPACIADORES","Bienes","Contratación directa","Cantidad definida","31/10/2022 13:00","07/11/2022 12:00","07/11/2022 12:05","10 Días hábiles",6e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",405
"269","Adjudicación en firme","31/10/2022 14:32","2022LA-000010-0025700001","Siquirres","","20221005627-00","PRECALIFICACIÓN DE OFERENTES PARA LA ADQUISICIÓN DE MATERIALES, SUMINISTROS, HERRAMIENTAS Y BIENES DURADEROS PARA LA MUNICIPALIDAD DE SIQUIRRES","Bienes","Licitación abreviada","Servicios","31/10/2022 15:00","07/11/2022 10:00","07/11/2022 10:00","10 Días hábiles",10,"",NA,703
"270","Adjudicación en firme","31/10/2022 14:50","2022CD-000072-0021911601","Turrubares","","20221005246-00","“SERVICIO DE ALINEADO, ROTACION Y BALANCEO DE LLANTAS PARA LOS VEHICULOS DE LA UNIDAD DE GESTIÓN VIAL DE LA MUNICIPALIDAD DE TURRUBARES”","Bienes/servicios","Contratación directa","Cantidad definida","01/11/2022 10:00","04/11/2022 14:00","04/11/2022 14:01","10 Días hábiles",4e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",116
"271","Contrato","31/10/2022 17:28","2022LA-000007-0010600001","Oreamuno","","20221005414-00","PROYECTOS A DESARROLLAR EN LAS FINCAS PÁEZ, PROPIEDAD DE LA MUNICIPALIDAD DE OREAMUNO.","Obra publica","Licitación abreviada","Cantidad definida","02/11/2022 07:00","15/11/2022 15:00","15/11/2022 15:01","20 Días hábiles",65100000,"",NA,307
"272","Desierto/Infructuoso","01/11/2022 07:14","2022CD-000044-0020000306","Alvarado","20221005281-01","20221005281-00","SERVICIO DE ENTREGA DE NOTIFICACIONES A CONTRIBUYENTES DE LA MUNICIPALIDAD DE ALVARADO","Servicios","Contratación directa","Cantidad definida","01/11/2022 07:15","04/11/2022 08:00","04/11/2022 08:01","10 Días hábiles",6500000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",306
"273","Contrato","01/11/2022 08:31","2022CD-000078-0031200001","Montes de Oro","","20221005574-00","Mantenimiento preventivo y correctivo a las guadañas de los servicios Municipalidad de Montes de Oro.","Servicios","Contratación directa","Según demanda","02/11/2022 08:00","08/11/2022 10:00","08/11/2022 10:01","10 Días hábiles",610000,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).",604
"274","Adjudicación en firme","01/11/2022 10:38","2022LA-000033-0021700001","Heredia","20221100080-01 20221100080-02 20221100080-03","20221100080-00","CONSTRUCCION DEL CEMENTERIO DE VARABLANCA PARA LA MUNICIPALIDAD DE HEREDIA","Bienes","Licitación abreviada","Servicios","29/11/2022 07:00","30/11/2022 10:00","30/11/2022 10:00","20 Días hábiles",1.98e+08,"",NA,401
"275","Contrato","01/11/2022 12:02","2022LA-000013-0003000001","Flores","","20221002304-00","Contratación para la migración de las cuentas de correo e información a una plataforma online para los empleados de las oficinas de la Municipalidad de Flores.","Servicios","Licitación abreviada","Cantidad definida","01/11/2022 13:00","09/11/2022 11:00","09/11/2022 11:00","12 Días hábiles",4.5e+07,"",NA,408
"276","Adjudicación en firme","01/11/2022 13:12","2022CD-000037-0021300211","Zarcero","","20221100160-00","Compra de materiales metálicos para la MUNICIPALIDAD DE ZARCERO","Bienes","Contratación directa","Según demanda","02/11/2022 08:00","08/11/2022 08:45","08/11/2022 09:00","10 Días hábiles",15700000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",211
"277","Contrato","01/11/2022 14:36","2022CD-000074-0021500001","Upala","20221100194-01","20221100194-00","CONTRATACIÓN DIRECTA DE SERVICIOS PROFESIONALES EN CONTADURÍA PÚBLICA PARA AUDITORÍA INTERNA DE LA MUNICIPALIDAD DE UPALA.","Servicios","Contratación directa","Cantidad definida","01/11/2022 15:00","04/11/2022 10:00","04/11/2022 10:01","10 Días hábiles",8744349,"","Contratación directa para asesoría a auditorías internas (Artículo 2 inc. d) LCA y artículo 139 inciso p) RLCA.",213
"278","Contrato","01/11/2022 14:38","2022CD-000163-0003900001","Nicoya","","20221100214-00","Servicios profesionales para soporte profesional al departamento de Control Constructivo y Obra Pública de la Municipalidad de Nicoya","Servicios","Contratación directa","Servicios","02/11/2022 08:00","04/11/2022 10:00","04/11/2022 10:01","10 Días hábiles",3e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",502
"279","Desierto/Infructuoso","01/11/2022 14:55","2022CD-000183-0005500001","Atenas","","20221100229-00","COMPRA DE EQUIPO DE SONIDO, PARA LA MUNICIPALIDAD DE ATENAS, DESARROLLO DE ACTIVIDADES VARIAS","Bienes/servicios","Contratación directa","Cantidad definida","01/11/2022 15:00","04/11/2022 14:00","04/11/2022 14:00","10 Días hábiles",955000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",205
"280","Contrato","01/11/2022 15:31","2022CD-000271-0021600001","Desamparados","","20221100259-00","Compra de medicamentos para prescripción en el consultorio médico de la Municipalidad de Desamparados y tratamientos de funcionarios","Bienes","Contratación directa","Cantidad definida","01/11/2022 15:40","04/11/2022 09:00","04/11/2022 09:30","4 Días hábiles",606000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",103
"281","Adjudicación en firme","01/11/2022 16:04","2022CD-000171-0004200001","Buenos Aires","","20221100185-00","Servicio de empaste e imprenta para la Municipalidad de Buenos Aires","Servicios","Contratación directa","Cantidad definida","01/11/2022 18:00","04/11/2022 08:00","04/11/2022 08:00","10 Días hábiles",150000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",603
"282","Contrato","02/11/2022 11:52","2022CD-000276-0021600001","Desamparados","","20221100438-00","La Municipalidad necesita contratar servicios profesionales para desarrollo de nueva funcionalidad en el sistema sidim","Servicios","Contratación directa","Cantidad definida","02/11/2022 13:00","04/11/2022 09:00","04/11/2022 09:05","10 Días hábiles",5e+06,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).",103
"283","Contrato","02/11/2022 14:04","2022CD-000209-0000500001","Alajuela","","20221100345-00","Estudio de factibilidad para adquisición de un terreno para construcción de edificio o de un edificio construido para albergar las oficinas de la Municipalidad de Alajuela","Servicios","Contratación directa","Servicios","02/11/2022 15:00","08/11/2022 14:00","08/11/2022 14:01","10 Días hábiles",2.2e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",201
"284","Desierto/Infructuoso","02/11/2022 14:07","2022CD-000154-0021000001","Santa Cruz","","20221100519-00","COMPRA DE CAMISAS PARA EL STAFF MUNICIPAL DE LA MUNICIPALIDAD DE SANTA CRUZ.","Bienes","Contratación directa","Cantidad definida","02/11/2022 15:00","07/11/2022 10:00","07/11/2022 10:00","6 Días hábiles",258000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",503
"285","Contrato","02/11/2022 14:57","2022CD-000270-0024100001","Goicoechea","","20221100304-00","Compra de productos de limpieza, según demanda para la Municipalidad de Goicoechea.","Bienes","Contratación directa","Según demanda","07/11/2022 12:00","08/11/2022 14:00","08/11/2022 14:01","10 Días hábiles",1900000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",108
"286","Contrato","02/11/2022 15:15","2022CD-000271-0024100001","Goicoechea","","20221100306-00","Servicios para clases maestras a la sección de Canto y el Taller de Coro, Escuela de Música Municipalidad de Goicoechea","Servicios","Contratación directa","Servicios","02/11/2022 16:00","03/11/2022 15:00","03/11/2022 15:01","10 Días hábiles",3e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",108
"287","Apelación o Revocación","02/11/2022 16:29","2022CD-000261-0021700001","Heredia","","20221100612-00","SERVICIOS PROFESIONALES PARA EL DISEÑO DEL SISTEMA ELECTRICO Y ACONDICIONAMIENTO DE OFICINAS PARA EL EDIFICIO DE GOBERNACION DE LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Servicios","07/11/2022 07:00","08/11/2022 10:00","08/11/2022 10:00","8 Días hábiles",1.4e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"288","Adjudicación en firme","03/11/2022 13:01","2022CD-000194-0020800001","Escazu","","20221100743-00","Sistema para control de consumo energético para aires acondicionados y luminaria para el Palacio Municipal de la Municipalidad de Escazú","Bienes/servicios","Contratación directa","Cantidad definida","04/11/2022 07:00","08/11/2022 09:00","08/11/2022 09:01","10 Días hábiles",9464000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",102
"289","Contrato","03/11/2022 13:57","2022CD-000058-0022900511","Hojancha","","20221100830-00","Compra de servicios de transporte para la Municipalidad de Hojancha","Bienes/servicios","Contratación directa","Servicios","07/11/2022 07:30","08/11/2022 10:00","08/11/2022 11:00","5 Días hábiles",3e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",511
"290","Contrato","03/11/2022 15:51","2022CD-000105-0019100001","Coto Brus","","20221100871-00","Compra de composteras y bolsos para el departamento de Gestión Ambiental de la Municipalidad de Coto Brus","Bienes/servicios","Contratación directa","Cantidad definida","04/11/2022 07:00","08/11/2022 12:00","08/11/2022 12:01","6 Días hábiles",1952500,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",608
"291","Contrato","03/11/2022 16:08","2022CD-000264-0021700001","Heredia","","20221100980-00","SERVICIOS PROFESIONALES PARA INSPECCIÓN DE OBRAS DE ESTABILIZACION DEL TALUD SOBRE RIO BURIO A LA ALTURA DE CUBUJUQUI ETAPAS II ¿ III PARA LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Servicios","08/11/2022 07:00","09/11/2022 10:00","09/11/2022 10:00","8 Días hábiles",14971380.1,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).",401
"292","Adjudicación en firme","03/11/2022 16:22","2022CD-000277-0024100001","Goicoechea","","20221100679-00","CONTRATACION PARA CONSTRUCION DE 13,5M DE MALLA TIPO CICLON, CON PORTON PEATONAL Y VEHICULAR, EN PROPIEDAD EXPROPIADA POR LA MUNICIPALIDAD, URB. BERACA","Servicios","Contratación directa","Cantidad definida","10/11/2022 11:00","11/11/2022 12:00","11/11/2022 12:01","10 Días hábiles",1512500,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",108
"293","Adjudicación en firme","04/11/2022 07:44","2022CD-000214-0023570101","Limon","","20221004692-00","Contratación de Servicios jurídicos penales para la Municipalidad de Limón","Servicios","Contratación directa","Servicios","04/11/2022 08:00","09/11/2022 12:25","09/11/2022 12:30","5 Días hábiles",3e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",701
"294","Contrato","04/11/2022 10:39","2022LA-000007-0021100001","Orotina","","20221101108-00","COMPRA DE UN SISTEMA PARA EL CONTROL DE TRÁMITES Y LA GESTIÓN DOCUMENTAL PARA LOS DISTINTOS DEPARTAMENTOS DE LA MUNICIPALIDAD DE OROTINA","Bienes","Licitación abreviada","Cantidad definida","04/11/2022 15:00","16/11/2022 09:00","16/11/2022 09:05","12 Días hábiles",37500000,"",NA,209
"295","Contrato","04/11/2022 12:05","2022CD-000106-0019100001","Coto Brus","20221100664-01","20221100664-00","COMPRA DE FILTROS PARA LA MUNICIPALIDAD DE COTO BRUS","Bienes","Contratación directa","Según demanda","07/11/2022 07:00","09/11/2022 12:00","09/11/2022 12:01","6 Días hábiles",7271041,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",608
"296","Contrato","04/11/2022 13:17","2022CD-000033-0020500001","Santa Barbara","","20221101128-00","Gestor Documental para la Municipalidad de Santa Bárbara","Bienes/servicios","Contratación directa","Cantidad definida","07/11/2022 07:00","14/11/2022 10:00","14/11/2022 10:00","10 Días hábiles",1.5e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",404
"297","Contrato","04/11/2022 14:09","2022CD-000052-0021300211","Zarcero","","20221101251-00","Compra de llantas para maquinaria y vehículos de UTGVM, Municipalidad de Zarcero","Bienes","Contratación directa","Cantidad definida","07/11/2022 08:00","11/11/2022 10:15","11/11/2022 10:30","10 Días hábiles",15700000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",211
"298","Adjudicación en firme","04/11/2022 14:53","2022CD-000073-0021911601","Turrubares","","20221100262-00","“SERVICIOS DE CAMBIO Y REPARACIÓN DE LLANTAS SEGÚN DEMANDA DE EQUIPOS Y VEHCULOS DE LA UNIDAD TECNICA DE GESTIÓN VIAL, MUNICIPALIDAD DE TURRUBARES”.","Bienes/servicios","Contratación directa","Cantidad definida","07/11/2022 08:00","10/11/2022 11:00","10/11/2022 11:01","10 Días hábiles",4e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",116
"299","Contrato","04/11/2022 14:58","2022CD-000074-0021911601","Turrubares","","20221100275-00","“COMPRA E INSTALACIÓN DE SEÑALIZACION VERTICAL PARA LOS DISTRITOS DE LA MUNICIPALIDAD DE TURRUBARES”","Bienes/servicios","Contratación directa","Cantidad definida","07/11/2022 08:00","10/11/2022 13:00","10/11/2022 13:01","10 Días hábiles",4200000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",116
"300","Contrato","07/11/2022 07:12","2022CD-000046-0020000306","Alvarado","","20221101158-00","Adquisición de sistema integrado de egresos para el control de la Municipalidad de Alvarado","Bienes/servicios","Contratación directa","Cantidad definida","07/11/2022 07:15","10/11/2022 08:00","10/11/2022 08:01","10 Días hábiles",8500000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",306
"301","Contrato","07/11/2022 07:51","2022CD-000047-0020000306","Alvarado","","20221101232-00","Compra de uniformes para los operativos de la Municipalidad de Alvarado","Bienes/servicios","Contratación directa","Cantidad definida","07/11/2022 08:00","10/11/2022 11:00","10/11/2022 11:01","10 Días hábiles",1779380,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",306
"302","Contrato","07/11/2022 09:44","2022CD-000137-0002500001","Palmares","","20221101429-00","DECISIÓN INICIAL PARA LA COMPRA DE BANDERAS DE COSTA RICA Y DEL CANTÓN DE PALMARES PARA EL USO OFICIAL DE LA MUNICIPALIDAD DE PALMARES","Bienes","Contratación directa","Cantidad definida","07/11/2022 10:30","10/11/2022 10:45","10/11/2022 11:00","10 Días hábiles",3e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",207
